2024-02-01 20:02:620 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:262 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:367 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:367 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:689 INFO  HomePage :61 - Clicking on thePoker : [[[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (894f9522d4b401bd499a41c71d0fc479)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:892 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:726 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:843 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:843 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:242 INFO  HomePage :61 - Clicking on theAll Games : [[[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (520ae5226d3b140002b615143ec0cda5)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:459 INFO  ManageBrowser :31 - launching chrome browser
2024-02-01 20:02:156 INFO  ManageBrowser :48 - navigate to given url
2024-02-01 20:02:274 INFO  HomePage :38 - click on : [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:275 INFO  HomePage :42 - Click on Allow all cookies : [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //label[normalize-space()='Allow all cookies']]
2024-02-01 20:02:700 INFO  HomePage :61 - Clicking on theBlog : [[[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li], [[ChromeDriver: chrome on windows (1a87ffac3e99dd729b3846e13ad1e012)] -> xpath: //ul[@class='StyledNavigationMenuList-sc-v46bks-1 ctndtu nav-bar']//li]]
2024-02-01 20:02:848 INFO  ManageBrowser :31 - launching chrome browser
